,loss_values
304,1566.294677734375
305,1579.619873046875
306,1568.9593505859375
307,1564.103759765625
308,1573.3426513671875
309,1561.81396484375
310,1558.56298828125
311,1573.685302734375
312,1561.526611328125
313,1583.6884765625
314,1568.138427734375
315,1559.830078125
316,1545.214599609375
317,1578.3851318359375
318,1563.0245361328125
319,1568.9666748046875
320,1554.8455810546875
321,1561.9051513671875
322,1571.48681640625
323,1571.22119140625
324,1566.778076171875
325,1581.40576171875
326,1560.4752197265625
327,1553.535888671875
328,1559.3330078125
329,1559.41259765625
330,1564.4683837890625
331,1579.8260498046875
332,1554.6336669921875
333,1556.697265625
334,1566.4239501953125
335,1545.965576171875
336,1560.0653076171875
337,1569.3046875
338,1575.818359375
339,1550.225341796875
340,1549.1888427734375
341,1556.52587890625
342,1570.0450439453125
343,1555.162109375
344,1556.3170166015625
345,1555.5010986328125
346,1547.9727783203125
347,1546.439453125
348,1547.9344482421875
349,1547.4993896484375
350,1569.2783203125
351,1558.0794677734375
352,1559.2401123046875
353,1549.00390625
354,1553.51123046875
355,1569.2574462890625
356,1572.519287109375
357,1560.791748046875
358,1552.586181640625
359,1563.9390869140625
360,1564.4361572265625
361,1566.0648193359375
362,1559.6439208984375
363,1549.5921630859375
364,1563.9747314453125
365,1559.687744140625
366,1558.05419921875
367,1539.919189453125
368,1555.6527099609375
369,1564.9844970703125
370,1565.158203125
371,1564.610107421875
372,1551.072021484375
373,1564.6962890625
374,1562.6875
375,1553.0352783203125
376,1561.4892578125
377,1561.5751953125
378,1556.253662109375
379,1557.377197265625
380,1550.2994384765625
381,1559.3409423828125
382,1577.7530517578125
383,1549.3121337890625
384,1558.652099609375
385,1554.572998046875
386,1546.284423828125
387,1561.11376953125
388,1563.473388671875
389,1564.9853515625
390,1555.0150146484375
391,1581.5540771484375
392,1556.82373046875
393,1548.245361328125
394,1555.07275390625
395,1548.21728515625
396,1545.01904296875
397,1554.215576171875
398,1545.694091796875
399,1566.062255859375
400,1544.5113525390625
401,1551.4078369140625
402,1537.0311279296875
403,1550.2611083984375
404,1548.8345947265625
405,1559.3116455078125
406,1556.98193359375
407,1544.0516357421875
408,1552.574951171875
409,1544.7744140625
410,1555.4061279296875
411,1558.0750732421875
412,1556.2021484375
413,1548.68798828125
414,1542.830322265625
415,1552.3221435546875
416,1545.1107177734375
417,1539.2962646484375
418,1561.930908203125
419,1553.3035888671875
420,1555.49853515625
421,1560.8665771484375
422,1548.6553955078125
423,1561.5250244140625
424,1546.5814208984375
425,1543.9554443359375
426,1549.113525390625
427,1554.0225830078125
428,1553.5130615234375
429,1558.8687744140625
430,1556.82421875
431,1548.4266357421875
432,1550.4822998046875
433,1543.5269775390625
434,1536.7080078125
435,1556.4864501953125
436,1549.2611083984375
437,1559.5177001953125
438,1548.9228515625
439,1550.594970703125
440,1562.15478515625
441,1560.90625
442,1534.47412109375
443,1549.1322021484375
444,1550.0576171875
445,1557.7767333984375
446,1550.50244140625
447,1548.069091796875
448,1543.39208984375
449,1558.839111328125
450,1545.2518310546875
451,1551.227294921875
452,1549.8770751953125
453,1545.16845703125
454,1550.09765625
455,1551.4765625
456,1547.9388427734375
457,1539.04541015625
458,1557.1279296875
459,1564.521240234375
460,1564.2349853515625
461,1557.301513671875
462,1540.1536865234375
463,1541.67919921875
464,1543.30078125
465,1557.0244140625
466,1568.738037109375
467,1537.0595703125
468,1557.9171142578125
469,1559.6025390625
470,1546.341064453125
471,1549.2059326171875
472,1545.313720703125
473,1547.5260009765625
474,1546.4447021484375
475,1553.1864013671875
476,1547.9906005859375
477,1550.01220703125
478,1551.7734375
479,1538.978759765625
480,1556.9407958984375
481,1541.81005859375
482,1548.7120361328125
483,1561.24365234375
484,1547.603271484375
485,1556.7532958984375
486,1558.126708984375
487,1548.6497802734375
488,1550.7998046875
489,1556.2139892578125
490,1554.9296875
491,1562.141845703125
492,1553.9747314453125
493,1554.26513671875
494,1535.5369873046875
495,1544.1512451171875
496,1561.4576416015625
497,1539.363037109375
498,1559.4261474609375
499,1532.830810546875
500,1547.70556640625
501,1570.4051513671875
502,1544.9990234375
503,1541.5089111328125
504,1554.7542724609375
505,1544.4329833984375
506,1543.6492919921875
507,1537.9649658203125
508,1541.954345703125
509,1548.8751220703125
510,1550.9332275390625
511,1547.4691162109375
512,1545.5810546875
513,1551.712646484375
514,1548.0889892578125
515,1554.1707763671875
516,1541.352294921875
517,1536.4111328125
518,1548.1160888671875
519,1540.441650390625
520,1540.5556640625
521,1534.29150390625
522,1552.01025390625
523,1544.72607421875
524,1532.4295654296875
525,1539.868896484375
526,1543.6790771484375
527,1554.2218017578125
528,1564.1361083984375
529,1555.26123046875
530,1532.4156494140625
531,1546.07275390625
532,1555.3109130859375
533,1552.5400390625
534,1558.4462890625
535,1548.7177734375
536,1546.9246826171875
537,1554.286865234375
538,1557.966552734375
539,1554.10205078125
540,1550.0772705078125
541,1543.2943115234375
542,1549.608642578125
543,1535.5289306640625
544,1545.024169921875
545,1546.404541015625
546,1543.9560546875
547,1560.4404296875
548,1542.8275146484375
549,1541.4207763671875
550,1534.052734375
551,1542.1953125
552,1543.2989501953125
553,1548.5340576171875
554,1549.1031494140625
555,1538.49365234375
556,1552.338623046875
557,1546.66064453125
558,1541.231689453125
559,1533.799072265625
560,1545.5489501953125
561,1544.375244140625
562,1530.2486572265625
563,1529.928955078125
564,1533.48583984375
565,1549.580078125
566,1539.2664794921875
567,1545.6339111328125
568,1542.066162109375
569,1548.5850830078125
570,1538.911865234375
571,1546.4361572265625
572,1536.4110107421875
573,1552.1595458984375
574,1544.12841796875
575,1548.5235595703125
576,1544.3162841796875
577,1543.4326171875
578,1551.9967041015625
579,1555.478271484375
580,1542.627685546875
581,1562.6981201171875
582,1550.1317138671875
583,1540.154541015625
584,1544.9493408203125
585,1539.2025146484375
586,1559.2142333984375
587,1559.1065673828125
588,1530.5865478515625
589,1544.208740234375
590,1547.111328125
591,1540.48291015625
592,1531.80810546875
593,1541.747802734375
594,1546.168212890625
595,1545.9969482421875
596,1541.428466796875
597,1550.834228515625
598,1528.30908203125
599,1537.010986328125
600,1539.7972412109375
601,1548.3304443359375
602,1534.43701171875
603,1527.533447265625
604,1534.916015625
605,1542.52197265625
606,1535.4921875
607,1535.5528564453125
608,1539.7857666015625
609,1531.284912109375
610,1549.9578857421875
611,1540.8260498046875
612,1547.790771484375
613,1552.6470947265625
614,1538.312744140625
615,1544.3353271484375
616,1541.5421142578125
617,1529.4814453125
618,1537.964111328125
619,1534.79541015625
